學年度,學期,課程代碼,課程名稱,授課教師,上課時間,上課教室,學分,選別,開課學程/年級,授課語言,EMI課程,學制分類,備註
114,2,000327011,"中級會計學（二）","潘健民","四234","商館260106",3.0,必修,"會計系",中文,否,學士班,"＠備註:會二甲，擋修中會(一)、初會(二)。課堂與選課注意事項請參照教學大綱。"
114,2,000327021,"中級會計學（二）","陳漢鐘","四234","逸仙050101",3.0,必修,"會計系",中文,否,學士班,"＠備註:會二乙，擋修中會(一)。原則上不開放加簽非會計系同學。實習課時間最晚將於第一週上課時決定。 必修"
114,2,000348061,"管理學","吳鈞源","三234","法學院519講堂",3.0,必修,"企管系",中文,否,學士班,"＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。"
114,2,000348071,"管理學","賴佳怡","二234","商館260205",3.0,必修,"企管系",中文,否,學士班,"＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。"
114,2,000358011,"資料分析與程式設計入門","李曉惠","四D56","逸仙5樓資管電腦室",3.0,選修,"資管系",中文,否,學士班,"＠備註:原科目名稱為資料處理，已修習原科目之學生不須再修習本科目。資管系同學修習不計入畢業學分。在逸仙樓五樓資管系電腦教室(0502教室)上課。"
114,2,000360081,"統計學（二）","周珮婷","四D56","研究250103",3.0,必修,"統計系",中文,否,學士班,"＠備註:實習課為二、78，商院各系、地政系及經濟系學生優先。"
114,2,000361051,"企業倫理與社會責任","陳立民","二D56","學思040301",1.0,必修,"企管系",中文,否,學士班,"＠備註:限大三以上修習，集中授課六週，每次3小時，實際上課日期請參考教學大綱。"
114,2,000702021,"普通心理學","顏怡君","一567","大智190305",3.0,選修,"心理系",中文,否,學士班,"＠備註:無"
114,2,000711002,"微積分","張宜武","三D56","大勇210103",3.0,必修,"應數系",中文,否,學士班,"＠備註:國貿系優先。"
114,2,000712001,"微積分","洪芷漪","三D56","大智190101",3.0,必修,"應數系",中文,否,學士班,"＠備註:會計系優先"
114,2,000219532,"經濟學","蔡致遠","三234","學思040202",3.0,必修,"國貿系",中文,否,學士班,"＠備註:貿一乙、企一乙、外語學程優先。115.6.6上午舉行會考，修課學生皆須參加，無法參加同學請勿修讀。"
114,2,000318061,"初級會計學（二）","戚務君","三234","資訊140201",3.0,必修,"會計系",中文,否,學士班,"＠備註:資管一甲，第一堂課請務必出席。擋修初會(一)。本課程於115.6.6(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
114,2,000318111,"初級會計學（二）","何怡澄","四234","研究250103",3.0,必修,"會計系",中文,否,學士班,"＠備註:財政一乙，實習課四1。擋修初會(一)，本課程於115.6.6(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
114,2,000348021,"管理學","李嘉綺、林昱錡","五D56","商館260206",3.0,必修,"企管系",英文,是,學士班,"＠備註:第一堂課務必出席，缺席者請自行退課。"
114,2,000350011,"行銷管理","陳冠儒","三234","商館260105",3.0,必修,"企管系",中文,否,學士班,"＠備註:企管二甲優先。先修管理學與經濟學，第一堂課必到。"
114,2,000350021,"行銷管理","楊凱貽","三234","商館260106",3.0,必修,"企管系",英文,是,學士班,"＠備註:第一堂課務必出席，未出席者請自行退選。先修經濟學和管理學。貿二甲優先。"
